Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Cserépfalu,311,Borsod-Abaúj-Zemplén,"47,58,04-20,31,43",2016,hegyi juhar,
Somogytúr**,310,Somogy,"46,41,20-17,44,17",2024,mezei juhar,"Sólyom Attila, Valent Sándor"
Szombathely,310,Vas,"47,13,36-16,37,36",2014,korai juhar,"Szél Győző, Daniló Eszter"
Hollád,310,Somogy,"46,37,42-17,18,44",2017,mezei juhar,Sólyom Attila; magasság: 16 m/2017
Hatvan,309,Heves,"47,43,07-19,42,04",2017,mezei juhar,Király Tamás
Osli,309,Győr-Moson-Sopron,"47,38,52-17,06,06",2024,ezüst juhar,Teket Attila
Szeleste,308,Vas,"47,18,24-16,49,47",2015,hegyi juhar,"Szél Győző, Daniló Eszter"
Sopron,308,Győr-Moson-Sopron,"47,40,57-16,34,59",2018,hegyi juhar,Szél Győző
Vác,308,Pest,"47,51,23-19,07,57",2017,mezei juhar,"Lesti Szabolcs, Torma Zoltánné, Torma Zoltán; Szendehely-Katalinpusztáról lehet megközelíteni, de a völgynek ez a fele Váchoz tartozik."
Bokod,308,Komárom-Esztergom,"47,28,02-18,16,06",2014,mezei juhar,"Szél Győző, Daniló Eszter"
Gamás,307,Somogy,"46,38,32-17,47,05",2014,mezei juhar,Sólyom Attila
Somogytarnóca,307,Somogy,"46,00,31-17,27,19",2015,mezei juhar,
Úrkút/Zsófiapuszta,307,Veszprém,"47,04,24-17,40,14",2013,mezei juhar,"Sütő Krisztián; magas törzsű, kivételesen szép példány."
Ivánc,307,Vas,"46,56,48-16,30,05",2021,hegyi juhar,kettős törzs egyik fele
Rinyabesenyő,307,Somogy,"46,10,01-17,31,09",2019,ezüst juhar,
Lókút,307,Veszprém,"47,12,27-17,50,40",2021,mezei juhar,Tóth Sándor
Hárskút,307,Veszprém,"47,11,24-17,45,04",2023,hegyi juhar,Teket Attila
Lókút,306,Veszprém,"47,12,26-17,50,45*",2021,hegyi juhar,Tóth Sándor
Lókút,306,Veszprém,"47,12,23-17,50,45",2013,mezei juhar,BDT; 322/2021
Kisbózsva,306,Borsod-Abaúj-Zemplén,"48,28,53-21,28,44",2019,mezei juhar,ZDT
Szentgál,305,Veszprém,"47,12,17-17,43,00",2015,mezei juhar,Jandala Attila
Ádánd,305,Somogy,"46,51,27-18,09,37",2020,korai juhar,
Csesznek,305,Veszprém,"47,18,34-17,52,48",2015,hegyi juhar,Jandala Attila
Bükkszentkereszt,305,Borsod-Abaúj-Zemplén,"48,02,33-20,37,26",2016,korai juhar,
Cégénydányád,305,Szabolcs-Szatmár-Bereg,"47,55,50-22,32,20",2023,mezei juhar,
Kétegyháza,305,Békés,"46,32,37-21,11,34",2017,zöld juhar,
Szentpéterúr,304,Zala,"46,44,08-17,03,14",2024,mezei juhar,
Merenye,303,Baranya,"46,03,35-17,42,25",2020,mezei juhar,"Lukács Róbert; Hódossy Attila, Torma Zoltánné, Torma Zoltán"
Salgótarján,303,Nógrád,"48,07,56-19,52,40",2012,mezei juhar,Jandala Attila
Hács/Béndekpuszta,303,Somogy,"46,39,19-17,43,02",2020,mezei juhar,Sólyom Attila
Dunapataj,303,Bács-Kiskun,"46,39,44-18,58,56",2018,zöld juhar,Szél Győző
Rakamaz,303,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,26",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Pusztaberény/Lengyeltóti,302,Somogy,"46,41,17-17,36,18",2016,korai juhar,Sólyom Attila
Magyarszecsőd,302,Vas,"47,02,27-16,39,01",2018,korai juhar,"Torma Zoltánné, Torma Zoltán"
Celldömölk,302,Vas,"47,15,30-17,08,53",2019,ezüst juhar,Teket Attila
Szentpéterúr,302,Zala,"46,44,03-17,03,23",2024,mezei juhar,
Szeged,301,Csongrád,"46,14,46-20,12,23",2021,ezüst juhar,
Szőlősgyörök,301,Somogy,"46,42,36-17,40,25",2012,korai juhar,Sólyom Attila
Bolhó,300,Somogy,"46,00,55-17,16,57",2012,mezei juhar,Szél Győző
Álmosd,570,Hajdú-Bihar,"47,24,35-21,58,52",2016,vadgesztenye,"Torma Zoltán, Torma Zoltánné"
Budapest,526,Pest,"47,31,17-19,02,48",2003,vadgesztenye,"533/2010; 2022: nincs benne élet (Takács Márton, DrT)"
Zsennye,477,Vas,"47,06,28-16,49,43",2020,vadgesztenye,Szél Győző; hármas törzsű
Iharosberény,474,Somogy,"46,21,51-17,06,17",2007,vadgesztenye,478/2012; 494/2015; 493/2016; 499/2018; 503/2020
Seregélyes,467,Fejér,"47,07,08-18,34,28",2007,vadgesztenye,Alacsonyan kiágazó résszel 527 cm.
Tuzsér,466,Szabolcs-Szatmár-Bereg,"48,20,51-22,07,07",2023,vadgesztenye,
Füzérradvány,454,Borsod-Abaúj-Zemplén,"48,29,02-21,31,52",2019,vadgesztenye,Szél Győző; 459/2025
Szőcsénypuszta,447,Somogy,"46,32,05-17,19,10",2008,sárgavirágú vadgesztenye,"Balogh Béla; 448/2010, 460/2010"
Rácalmás,446,Fejér,"47,01,34-18,54,59",2021,vadgesztenye,Baranyai László
Gic,440,Veszprém,"47,26,00-17,45,45",2010,vadgesztenye,"Baranyai László, Jandala Attila; 448/2021"
Budapest,429,Pest,"47,31,54-19,03,08",2010,vadgesztenye,Szél Győző
Somogyvár,426,Somogy,"46,34,44-17,38,53",2013,vadgesztenye,Sólyom Attila
Martonvásár,426,Fejér,"47,18,58-18,46,53",2012,vadgesztenye,
Martonvásár,424,Fejér,"47,18,59-18,46,57",2012,vadgesztenye,
Miskolc,423,Borsod-Abaúj-Zemplén,"48,04,10-20,47,04",2015,vadgesztenye,Szél Győző
Böhönye,423,Somogy,"46,24,50-17,22,51",2016,vadgesztenye,"Torma Zoltán, Torma Zoltánné"
Csurgó,422,Somogy,"46,15,40-17,05,31",2017,vadgesztenye,"Torma Zoltánné, Torma Zoltán"
Zsennye,422,Vas,"47,06,32-16,49,32",2020,vadgesztenye,Szél Győző
Füzérradvány,420,Borsod-Abaúj-Zemplén,"48,29,00-21,31,53",2012,vadgesztenye,2017-ben már nincsen meg (Takács Márton)
Győr,419,Győr-Moson-Sopron,"47,41,27-17,38,24",2020,vadgesztenye,"Szél Győző, Teket Attila"
Szigliget,418,Veszprém,"46,48,05-17,25,46",2011,vadgesztenye,"Baranyai László, többtörzsű"
Egervár,412,Zala,"46,56,20-16,51,41",2011,vadgesztenye,Takács Márton 2015: kivágták
Füzérradvány,411,Borsod-Abaúj-Zemplén,"48,29,02-21,31,43",2012,vadgesztenye,2017-ben már nincsen meg (Takács Márton)
Noszvaj,410,Heves,"47,55,55-20,28,21",2022,vadgesztenye,magasság: 18 m/2022
Csurgó,408,Somogy,"46,15,20-17,05,42",2017,vadgesztenye,"Torma Zoltánné, Torma Zoltán"
Fehérvárcsurgó,408,Fejér,"47,17,09-18,15,56",2010,vadgesztenye,Baranyai László
Mosdós,403,Somogy,"46,21,21-17,59,42",2019,vadgesztenye,Sólyom Attila; magasság: 27 m/2019
Zsennye,402,Vas,"47,06,32-16,49,34",2020,vadgesztenye,
Tiszadob,402,Szabolcs-Szatmár-Bereg,"48,01,33-21,11,47",2023,vadgesztenye,"Szokolovszki Géza, Harsányiné Szakács Renáta, Szakács Béla, Szakács Béláné"
Nádasdladány,402,Fejér,"47,08,06-18,14,33",2025,vadgesztenye,
Somogyvár,401,Somogy,"46,34,19-17,36,34",2021,vadgesztenye,Sólyom Attila
Szabatonpuszta,468,Tolna,"46,33,18-18,32,33",2009,bálványfa,Elblinger Ferenc
Miskolc,453,Borsod-Abaúj-Zemplén,"48,06,04-20,47,03",2015,bálványfa,Szél Győző; 2026: pár éve kivágták (Pocsai Mariann)
Budapest**,447,Pest,"47,31,22-19,02,41",2014,bálványfa,Szél Győző; 120 cm-en kétfelé ágazik
Pécs,411,Baranya,"46,04,38-18,13,56",2015,bálványfa,Máthé Péter
Budapest,365,Pest,"47,29,10-19,05,06",2023,bálványfa,Szél Győző
Budapest,361,Pest,"47,29,31-19,03,45",2011,bálványfa,Szél Győző: 2018-ban kivágták
Budapest,359,Pest,"47,31,33-19,02,47",2014,bálványfa,Szél Győző; nem sok élet van benne
Biharnagybajom,355,Hajdú-Bihar,"47,12,45-21,13,58",2021,bálványfa,
Pécs,353,Baranya,"46,04,23-18,13,27",2015,bálványfa,Máthé Péter
Budapest,344,Pest,"47,31,30-19,03,55",2021,bálványfa,Csarnogurszky István
Szombathely,338,Vas,"47,13,59-16,37,53",2020,bálványfa,Balogh Lajos; 130 cm-en kétfelé ágazik
Budapest,326,Pest,"47,31,20-18,57,17",2013,bálványfa,Szél Győző
Dombrád,323,Szabolcs-Szatmár-Bereg,"48,13,32-21,55,24",2017,bálványfa,magasság: 16 m/2017
Apátfalva,322,Csongrád,"46,10,13-20,34,29",2018,bálványfa,magasság: 16 m/2018
Kőszeg,313,Vas,"47,23,24-16,32,29",2022,bálványfa,2024: már nincsen meg
Hács/Gárdonypuszta**,693,Somogy,"46,36,50-17,41,55",2020,enyves éger,"Sólyom Attila; többtörzsű, 13 törzs együtt 864 cm/2020; magasság: 31 m/2020"
Szilvásvárad,650,Heves,"48,05,17-20,24,22",2004,enyves éger,658/2008; 2020: csak egy romos tönk van már (Elblinger Ferenc)
Olaszfalu**,623,Veszprém,"47,13,55-17,59,03",2018,enyves éger,Alsópere közelében; 1 m magasan öt törzsre ágazik
Füzér**,593,Borsod-Abaúj-Zemplén,"48,35,02-21,26,16",2019,enyves éger,"Torma Zoltánné, Torma Zoltán; alacsonyan elágazó, soktörzsű; magasság: 22 m/2019"
Mátraszentimre,577,Heves,"47,55,08-19,49,54",2018,enyves éger,"Elblinger Ferenc, Torma Zoltán; mellmagasságban háromfelé ágazik"
Bokod,533,Komárom-Esztergom,"47,27,00-18,15,07",2013,enyves éger,Jandala Attila
Pásztó**,516,Nógrád,"47,55,17-19,47,04",2018,enyves éger,Torma Zoltán
Nyíri,496,Borsod-Abaúj-Zemplén,"48,28,59-21,25,05",2018,enyves éger,"Szemán Márk, Torma Zoltán, Torma Zoltánné; 503/2024"
Szokolya,493,Pest,"47,53,50-18,58,25",2014,enyves éger,"Szél Győző, Rozenberszki Dóra, Nagy Zoltán; két főágából egy letörött"
Szokolya,484,Pest,"47,53,52-18,58,26",2014,enyves éger,"Szél Győző, Rozenberszki Dóra, Nagy Zoltán"
Nyíri,473,Borsod-Abaúj-Zemplén,"48,29,01-21,24,49",2018,enyves éger,
Csorna,472,Győr-Moson-Sopron,"47,40,49-17,07,53",2024,enyves éger,Teket Attila; magasság: 32 m/2024
Csorna,471,Győr-Moson-Sopron,"47,40,54-17,07,52",2024,enyves éger,Teket Attila
Pilis,468,Pest,"47,16,28-19,34,05",2023,enyves éger,Lesti Szabolcs
Szombathely,458,Vas,"47,15,06-16,36,29",2008,enyves éger,180 cm magasan kettéágazik.
Szokolya,457,Pest,"47,53,51-18,58,26",2014,enyves éger,"Szél Győző, Rozenberszki Dóra, Nagy Zoltán"
Szokolya,455,Pest,"47,53,51-18,58,00",2014,enyves éger,Szél Győző
Csorna,455,Győr-Moson-Sopron,"47,41,05-17,05,59",2024,enyves éger,Teket Attila
Csorna,453,Győr-Moson-Sopron,"47,40,53-17,07,51",2024,enyves éger,Teket Attila
Csorna**,450,Győr-Moson-Sopron,"47,40,49-17,07,54",2024,enyves éger,Teket Attila
Abaújszántó,447,Borsod-Abaúj-Zemplén,"48,16,36-21,16,03",2022,enyves éger,
Abaújalpár,437,Borsod-Abaúj-Zemplén,"48,17,49-21,16,51",2018,enyves éger,
Pásztó**,434,Nógrád,"47,55,20-19,47,01",2018,enyves éger,Torma Zoltán
Abaújalpár,433,Borsod-Abaúj-Zemplén,"48,17,44-21,13,49",2018,enyves éger,
Csorna,432,Győr-Moson-Sopron,"47,40,51-17,07,53",2024,enyves éger,Teket Attila
Csorna,430,Győr-Moson-Sopron,"47,40,53-17,07,58",2024,enyves éger,Teket Attila
Csorna,426,Győr-Moson-Sopron,"47,40,53-17,07,56",2024,enyves éger,Teket Attila
Csorna,426,Győr-Moson-Sopron,"47,40,54-17,07,50",2024,enyves éger,Teket Attila
Szombathely,423,Vas,"47,12,29-16,39,15",2018,enyves éger,Teket Attila
Csorna,420,Győr-Moson-Sopron,"47,40,51-17,07,48",2024,enyves éger,Teket Attila
Csorna,419,Győr-Moson-Sopron,"47,40,48-17,07,39",2024,enyves éger,Teket Attila
Csorna,417,Győr-Moson-Sopron,"47,40,54-17,07,45",2024,enyves éger,Teket Attila
Csorna,415,Győr-Moson-Sopron,"47,40,55-17,07,49",2024,enyves éger,Teket Attila
Abaújalpár,415,Borsod-Abaúj-Zemplén,"48,17,43-21,17,11",2018,enyves éger,
Nyíri**,413,Borsod-Abaúj-Zemplén,"48,29,00-21,25,12",2024,enyves éger,
Csorna,412,Győr-Moson-Sopron,"47,40,53-17,07,58",2024,enyves éger,Teket Attila
Háromhuta,412,Borsod-Abaúj-Zemplén,"48,22,48-21,26,44",2018,enyves éger,"Torma Zoltánné, Torma Zoltán"
Abaújszántó,412,Borsod-Abaúj-Zemplén,"48,16,45-21,16,01",2022,enyves éger,Egy alacsonyan elágazó 300 cm-es törzzsel együtt 675 cm-es
Devecser,412,Veszprém,"47,06,26-17,26,24",2008,enyves éger,"130 cm magasan elágazik. 418/2010. 2014: elpusztult, nincsen meg"
Csorna,412,Győr-Moson-Sopron,"47,40,49-17,07,45",2024,enyves éger,Teket Attila
Csorna,411,Győr-Moson-Sopron,"47,40,52-17,07,50",2024,enyves éger,Teket Attila
Csorna**,409,Győr-Moson-Sopron,"47,40,51-17,07,55",2024,enyves éger,Teket Attila
Csorna,408,Győr-Moson-Sopron,"47,40,55-17,07,45",2024,enyves éger,Teket Attila
Csorna,406,Győr-Moson-Sopron,"47,40,52-17,07,50",2024,enyves éger,Teket Attila
Csorna,405,Győr-Moson-Sopron,"47,40,49-17,07,45",2024,enyves éger,Teket Attila
Csorna,404,Győr-Moson-Sopron,"47,40,49-17,07,39",2024,enyves éger,Teket Attila
Csorna,403,Győr-Moson-Sopron,"47,40,55-17,07,51",2024,enyves éger,Teket Attila
Csorna,403,Győr-Moson-Sopron,"47,40,54-17,07,54",2024,enyves éger,Teket Attila
Csorna,401,Győr-Moson-Sopron,"47,40,55-17,07,57",2024,enyves éger,Teket Attila
Csorna**,401,Győr-Moson-Sopron,"47,40,50-17,07,51",2024,enyves éger,Teket Attila
Erdőhorváti,400,Borsod-Abaúj-Zemplén,"48,19,45-21,25,08",2020,enyves éger,Torma Zoltán
Csorna,400,Győr-Moson-Sopron,"47,40,54-17,08,00",2024,enyves éger,Teket Attila
Felsőtárkány,398,Heves,"48,01,37-20,26,03",2017,enyves éger,
Csorna,398,Győr-Moson-Sopron,"47,40,55-17,07,56",2024,enyves éger,Teket Attila
Csorna,397,Győr-Moson-Sopron,"47,40,54-17,07,55",2024,enyves éger,Teket Attila
Csorna,396,Győr-Moson-Sopron,"47,40,49-17,07,46",2024,enyves éger,Teket Attila
Csorna**,395,Győr-Moson-Sopron,"47,40,53-17,07,59",2024,enyves éger,Teket Attila
Csorna,395,Győr-Moson-Sopron,"47,40,51-17,07,55",2024,enyves éger,Teket Attila
Csorna,394,Győr-Moson-Sopron,"47,41,05-17,05,59",2024,enyves éger,Teket Attila
Csorna,393,Győr-Moson-Sopron,"47,40,55-17,07,58",2024,enyves éger,Teket Attila
Sima,393,Borsod-Abaúj-Zemplén,"48,17,12-21,17,46",2018,enyves éger,
Abaújalpár,393,Borsod-Abaúj-Zemplén,"48,17,42-21,17,14",2018,enyves éger,
Csorna,391,Győr-Moson-Sopron,"47,40,50-17,07,53",2024,enyves éger,Teket Attila
Csorna,390,Győr-Moson-Sopron,"47,40,51-17,07,58",2024,enyves éger,Teket Attila
Csorna,389,Győr-Moson-Sopron,"47,40,51-17,07,58",2024,enyves éger,Teket Attila
Háromhuta,387,Borsod-Abaúj-Zemplén,"48,22,48-21,26,15",2018,enyves éger,"Torma Zoltán, Torma Zoltánné, Torma Ágnes"
Pilis,387,Pest,"47,16,29-19,34,04",2023,enyves éger,Lesti Szabolcs
Sima,386,Borsod-Abaúj-Zemplén,"48,17,12-21,17,47",2018,enyves éger,
Csorna,386,Győr-Moson-Sopron,"47,40,51-17,07,54",2024,enyves éger,Teket Attila
Pamuk,386,Somogy,"46,32,03-17,37,56",2021,enyves éger,Sólyom Attila
Csorna,386,Győr-Moson-Sopron,"47,40,51-17,07,51",2024,enyves éger,Teket Attila
Csorna,385,Győr-Moson-Sopron,"47,40,54-17,07,53",2024,enyves éger,Teket Attila
Csorna,385,Győr-Moson-Sopron,"47,40,52-17,07,51",2024,enyves éger,Teket Attila
Csorna,384,Győr-Moson-Sopron,"47,40,55-17,07,49",2024,enyves éger,Teket Attila
Zirc,384,Veszprém,"47,15,49-17,52,37",2010,enyves éger,
Csorna,383,Győr-Moson-Sopron,"47,40,56-17,07,49",2024,enyves éger,Teket Attila
Csorna,383,Győr-Moson-Sopron,"47,40,49-17,07,59",2024,enyves éger,Teket Attila
Abaújalpár,382,Borsod-Abaúj-Zemplén,"48,17,43-21,17,12",2018,enyves éger,
Csorna,381,Győr-Moson-Sopron,"47,40,51-17,08,00",2024,enyves éger,Teket Attila
Sima,380,Borsod-Abaúj-Zemplén,"48,17,31-21,17,31",2018,enyves éger,
Csorna,380,Győr-Moson-Sopron,"47,40,52-17,07,48",2024,enyves éger,Teket Attila
Abaújszántó,380,Borsod-Abaúj-Zemplén,"48,16,41-21,16,02",2022,enyves éger,
Csorna,380,Győr-Moson-Sopron,"47,40,55-17,07,52",2024,enyves éger,Teket Attila
Csorna,378,Győr-Moson-Sopron,"47,40,51-17,07,52",2024,enyves éger,Teket Attila
Csorna,377,Győr-Moson-Sopron,"47,40,49-17,07,47",2024,enyves éger,Teket Attila
Csorna,377,Győr-Moson-Sopron,"47,40,48-17,07,43",2024,enyves éger,Teket Attila
Csorna,377,Győr-Moson-Sopron,"47,40,52-17,07,50",2024,enyves éger,Teket Attila
Csorna,376,Győr-Moson-Sopron,"47,40,50-17,07,55",2024,enyves éger,Teket Attila
Szombathely,376,Vas,"47,12,29-16,39,16",2018,enyves éger,"Teket Attila; törzse kettévált, a két rész együtt 567 cm lenne"
Csorna,374,Győr-Moson-Sopron,"47,40,54-17,07,54",2024,enyves éger,Teket Attila
Pásztó**,374,Nógrád,"47,55,39-19,45,06",2018,enyves éger,Torma Zoltán
Regéc,374,Borsod-Abaúj-Zemplén,"48,25,21-21,25,23",2019,enyves éger,"Torma Zoltánné, Torma Zoltán"
Csorna,373,Győr-Moson-Sopron,"47,40,54-17,07,46",2024,enyves éger,Teket Attila
Csorna,373,Győr-Moson-Sopron,"47,40,47-17,07,49",2024,enyves éger,Teket Attila
Csorna,372,Győr-Moson-Sopron,"47,40,53-17,07,56",2024,enyves éger,Teket Attila
Nyíri,371,Borsod-Abaúj-Zemplén,"48,28,40-21,25,49",2018,enyves éger,
Csorna,371,Győr-Moson-Sopron,"47,40,48-17,07,52",2024,enyves éger,Teket Attila
Csorna,371,Győr-Moson-Sopron,"47,40,54-17,07,46",2024,enyves éger,Teket Attila
Csorna,371,Győr-Moson-Sopron,"47,40,48-17,07,57",2024,enyves éger,Teket Attila
Csorna,370,Győr-Moson-Sopron,"47,40,47-17,07,40",2024,enyves éger,Teket Attila
Csorna,370,Győr-Moson-Sopron,"47,40,49-17,07,44",2024,enyves éger,Teket Attila
Csorna,369,Győr-Moson-Sopron,"47,40,50-17,07,52",2024,enyves éger,Teket Attila
Csorna,369,Győr-Moson-Sopron,"47,40,51-17,07,53",2024,enyves éger,Teket Attila
Csorna,369,Győr-Moson-Sopron,"47,40,54-17,07,52",2024,enyves éger,Teket Attila
Csorna,369,Győr-Moson-Sopron,"47,40,54-17,07,46",2024,enyves éger,Teket Attila
Szentgál,368,Veszprém,"47,10,44-17,42,52",2023,enyves éger,Teket Attila
Szombathely,367,Vas,"47,15,10-16,36,28",2008,enyves éger,
Csorna,366,Győr-Moson-Sopron,"47,40,54-17,07,59",2024,enyves éger,Teket Attila
Csorna,365,Győr-Moson-Sopron,"47,40,49-17,07,57",2024,enyves éger,Teket Attila
Csorna,365,Győr-Moson-Sopron,"47,40,51-17,07,58",2024,enyves éger,Teket Attila
Csorna**,365,Győr-Moson-Sopron,"47,40,55-17,56,00",2024,enyves éger,Teket Attila
Csorna,365,Győr-Moson-Sopron,"47,40,51-17,07,54",2024,enyves éger,Teket Attila
Csorna,364,Győr-Moson-Sopron,"47,40,48-17,07,39",2024,enyves éger,Teket Attila
Csorna,363,Győr-Moson-Sopron,"47,40,53-17,07,55",2024,enyves éger,Teket Attila
Csorna,363,Győr-Moson-Sopron,"47,40,49-17,07,54",2024,enyves éger,Teket Attila
Szombathely,362,Vas,"47,15,07-16,36,34",2014,enyves éger,"Szél Győző, Daniló Eszter"
Csorna,362,Győr-Moson-Sopron,"47,40,52-17,07,45",2024,enyves éger,Teket Attila
Bejcgyertyános,361,Vas,"47,08,44-16,58,14",2022,enyves éger,Szél Győző
Pásztó**,360,Nógrád,"47,55,23-19,46,52",2018,enyves éger,Torma Zoltán
Szombathely,360,Vas,"47,12,13-16,40,06",2018,enyves éger,Teket Attila
Szokolya,358,Pest,"47,53,50-18,58,25",2014,enyves éger,"Szél Győző, Rozenberszki Dóra, Nagy Zoltán; Királyréten"
Csorna,358,Győr-Moson-Sopron,"47,40,52-17,07,53",2024,enyves éger,Teket Attila
Csorna,357,Győr-Moson-Sopron,"47,40,51-17,07,50",2024,enyves éger,Teket Attila
Pilis,356,Pest,"47,16,36-19,33,59",2023,enyves éger,Lesti Szabolcs; magasság: 24 m/2023
Csorna,356,Győr-Moson-Sopron,"47,40,48-17,07,54",2024,enyves éger,Teket Attila
Csorna,355,Győr-Moson-Sopron,"47,40,53-17,07,46",2024,enyves éger,Teket Attila
Kutas,355,Somogy,"46,21,46-17,26,48",2020,enyves éger,"Torma Zoltánné, Torma Zoltán; kettős törzsű"
Csorna,355,Győr-Moson-Sopron,"47,40,53-17,07,57",2024,enyves éger,Teket Attila
Csorna,355,Győr-Moson-Sopron,"47,40,48-17,07,39",2024,enyves éger,Teket Attila
Szombathely,354,Vas,"47,12,15-16,40,16",2014,enyves éger,"Szél Győző, Daniló Eszter; Bogáti kastélyparkban"
Csorna,353,Győr-Moson-Sopron,"47,40,50-17,07,54",2024,enyves éger,Teket Attila
Csorna,353,Győr-Moson-Sopron,"47,40,52-17,07,54",2024,enyves éger,Teket Attila
Telkibánya,352,Borsod-Abaúj-Zemplén,"48,27,57-21,23,05",2018,enyves éger,"Torma Zoltánné, Torma Zoltán"
Parádfürdő,352,Heves,"47,54,21-20,03,13",2012,enyves éger,"Baranyai László, Szél Győző"
Csorna,352,Győr-Moson-Sopron,"47,40,55-17,07,50",2024,enyves éger,Teket Attila
Hács/Gárdonypuszta,352,Somogy,"46,36,47-17,42,00",2020,enyves éger,Sólyom Attila
Csorna,351,Győr-Moson-Sopron,"47,40,50-17,07,53",2024,enyves éger,Teket Attila
Pilis,351,Pest,"47,16,37-19,33,58",2023,enyves éger,Lesti Szabolcs
Csorna,350,Győr-Moson-Sopron,"47,40,50-17,08,00",2024,enyves éger,Teket Attila
Csorna,350,Győr-Moson-Sopron,"47,40,51-17,07,53",2024,enyves éger,Teket Attila
Pásztó,349,Nógrád,"47,55,39-19,45,07",2018,enyves éger,Torma Zoltán
Csorna,349,Győr-Moson-Sopron,"47,40,52-17,07,51",2024,enyves éger,Teket Attila
Pilis,349,Pest,"47,16,37-19,33,58",2023,enyves éger,Lesti Szabolcs
Csorna,349,Győr-Moson-Sopron,"47,40,49-17,07,45",2024,enyves éger,Teket Attila
Csorna,348,Győr-Moson-Sopron,"47,40,53-17,07,51",2024,enyves éger,Teket Attila
Csorna,348,Győr-Moson-Sopron,"47,40,51-17,07,54",2024,enyves éger,Teket Attila
Csorna,348,Győr-Moson-Sopron,"47,40,54-17,07,55",2024,enyves éger,Teket Attila
Csorna,347,Győr-Moson-Sopron,"47,40,55-17,07,55",2024,enyves éger,Teket Attila
Mátraszentimre,347,Heves,"47,55,04-19,49,48",2018,enyves éger,Torma Zoltán
